Feature,Importance
Longitude,0.41557297165857493
MedInc,0.2382896165969511
AveOccup,0.12003285923170877
AveBedrms,0.11978422140269046
AveRooms,0.049342129205599064
Latitude,0.023272971758918543
Population,0.019588039991741364
HouseAge,0.01411719015381583
