Feature,Importance
Longitude,0.4260669480974241
MedInc,0.24037341222896497
AveOccup,0.13365607407454194
AveBedrms,0.0694232365308648
AveRooms,0.06001204063007263
Population,0.02832833229105121
Latitude,0.02124170059812598
HouseAge,0.020898255548954376
