Feature,Importance
Longitude,0.3967391366889885
MedInc,0.25116406303185435
AveOccup,0.12778939513088156
AveBedrms,0.10007520815856286
AveRooms,0.07300013579347125
Population,0.020630174993654767
Latitude,0.017422248085326778
HouseAge,0.013179638117260037
